GeneID	Expression
CCNA_00711	False
CCNA_00116	False
CCNA_00182	False
CCNA_00384	False
CCNA_00396	False
CCNA_00459	False
CCNA_00582	False
CCNA_00636	False
CCNA_01030	False
CCNA_01032	False
CCNA_01054	False
CCNA_01194	False
CCNA_01220	False
CCNA_01775	False
CCNA_01949	False
CCNA_02202	False
CCNA_02561	False
CCNA_02965	False
CCNA_02993	False
CCNA_03258	False
CCNA_03439	False
CCNA_03568	False
CCNA_03584	False
CCNA_03714	False
CCNA_R0177	False
CCNA_01267	False
CCNA_03334	False
CCNA_02191	False
CCNA_02178	False
CCNA_03013	False
CCNA_00451	False
CCNA_01386	False
CCNA_02597	False
CCNA_02883	False
CCNA_02400	False
CCNA_00053	False
CCNA_01065	False
CCNA_01808	False
CCNA_03607	False
CCNA_R0185	False
CCNA_00918	False
CCNA_02465	False
CCNA_02821	False
CCNA_01074	False
CCNA_01763	False
CCNA_01952	False
CCNA_00622	False
CCNA_00956	False
CCNA_01780	False
CCNA_02479	False
CCNA_02546	False
CCNA_03605	False
CCNA_03774	False
CCNA_R0166	False
CCNA_03824	False
CCNA_01677	False
CCNA_01473	False
CCNA_00218	False
CCNA_00694	False
CCNA_03724	False
CCNA_03953	False
CCNA_00483	False
CCNA_01395	False
CCNA_03803	False
CCNA_01995	False
CCNA_03065	False
CCNA_03940	False
CCNA_00084	False
CCNA_00970	False
CCNA_01811	False
CCNA_03946	False
CCNA_01462	False
CCNA_03390	False
CCNA_00783	False
CCNA_02699	False
CCNA_03150	False
CCNA_02269	False
CCNA_03822	False
CCNA_00976	False
CCNA_02442	False
CCNA_02670	False
CCNA_R0141	False
CCNA_01274	False
CCNA_03089	False
CCNA_03160	False
CCNA_03100	False
CCNA_01757	False
CCNA_00055	False
CCNA_02196	False
CCNA_02261	False
CCNA_01488	False
CCNA_03027	False
CCNA_00988	False
CCNA_01502	False
CCNA_01142	False
CCNA_01821	False
CCNA_02278	False
CCNA_02992	False
CCNA_00654	False
CCNA_01114	False
CCNA_01860	False
CCNA_03682	False
CCNA_02186	False
CCNA_02956	False
CCNA_02244	False
CCNA_01649	False
CCNA_02250	False
CCNA_00136	False
CCNA_00354	False
CCNA_00760	False
CCNA_01245	False
CCNA_01566	False
CCNA_02046	False
CCNA_02081	False
CCNA_02870	False
CCNA_03505	False
CCNA_03614	False
CCNA_03677	False
CCNA_R0105	False
CCNA_01731	False
CCNA_01898	False
CCNA_02496	False
CCNA_02917	False
CCNA_03181	False
CCNA_03574	False
CCNA_03792	False
CCNA_00624	False
CCNA_03343	False
CCNA_03593	False
CCNA_02233	False
CCNA_00431	False
CCNA_00701	False
CCNA_02477	False
CCNA_02702	False
CCNA_03279	False
CCNA_03760	False
CCNA_R0018	False
CCNA_00399	False
CCNA_01269	False
CCNA_01450	False
CCNA_01651	False
CCNA_01700	False
CCNA_01865	False
CCNA_02304	False
CCNA_02338	False
CCNA_02544	False
CCNA_02625	False
CCNA_02727	False
CCNA_02988	False
CCNA_03144	False
CCNA_03347	False
CCNA_03604	False
CCNA_01698	False
CCNA_00367	False
CCNA_01899	False
CCNA_01935	False
CCNA_01250	False
CCNA_03492	False
CCNA_00680	False
CCNA_00980	False
CCNA_01786	False
CCNA_02784	False
CCNA_00028	False
CCNA_R0074	False
CCNA_01323	False
CCNA_02415	False
CCNA_03450	False
CCNA_02139	False
CCNA_02798	False
CCNA_03422	False
CCNA_01759	False
CCNA_00394	False
CCNA_01070	False
CCNA_01845	False
CCNA_02894	False
CCNA_03512	False
CCNA_00544	False
CCNA_00585	False
CCNA_02084	False
CCNA_01059	False
CCNA_02005	False
CCNA_03054	False
CCNA_03865	False
CCNA_03569	False
CCNA_00350	False
CCNA_02708	False
CCNA_02824	False
CCNA_00308	False
CCNA_00419	False
CCNA_00765	False
CCNA_01354	False
CCNA_00226	False
CCNA_01449	False
CCNA_02120	False
CCNA_02865	False
CCNA_02438	False
CCNA_03705	False
CCNA_02840	False
CCNA_00188	False
CCNA_01854	False
CCNA_02377	False
CCNA_03519	False
CCNA_00206	False
CCNA_00725	False
CCNA_00108	False
CCNA_00568	False
CCNA_R0200	False
CCNA_00676	False
CCNA_00741	False
CCNA_00936	False
CCNA_02102	False
CCNA_02809	False
CCNA_03533	False
CCNA_00046	False
CCNA_00861	False
CCNA_00973	False
CCNA_02586	False
CCNA_02900	False
CCNA_03055	False
CCNA_03394	False
CCNA_R0095	False
CCNA_00230	False
CCNA_02181	False
CCNA_00959	False
CCNA_01511	False
CCNA_01752	False
CCNA_01777	False
CCNA_01795	False
CCNA_02215	False
CCNA_03565	False
CCNA_03670	False
CCNA_03707	False
CCNA_00506	False
CCNA_00572	False
CCNA_03126	False
CCNA_02225	False
CCNA_03818	False
CCNA_00176	False
CCNA_00450	False
CCNA_00746	False
CCNA_01405	False
CCNA_01975	False
CCNA_01986	False
CCNA_02062	False
CCNA_02340	False
CCNA_03152	False
CCNA_03759	False
CCNA_R0125	False
CCNA_01545	False
CCNA_02158	False
CCNA_02297	False
CCNA_01158	False
CCNA_00048	False
CCNA_00542	False
CCNA_01034	False
CCNA_01568	False
CCNA_02148	False
CCNA_02493	False
CCNA_01301	False
CCNA_02441	False
CCNA_03014	False
CCNA_00183	False
CCNA_01754	False
CCNA_02224	False
CCNA_03898	False
CCNA_R0023	False
CCNA_00904	False
CCNA_01438	False
CCNA_01634	False
CCNA_02195	False
CCNA_02647	False
CCNA_R0176	False
CCNA_01907	False
CCNA_02422	False
CCNA_02571	False
CCNA_00250	False
CCNA_03853	False
CCNA_01229	False
CCNA_00344	False
CCNA_00504	False
CCNA_01105	False
CCNA_02519	False
CCNA_02559	False
CCNA_03661	False
CCNA_03695	False
CCNA_03964	False
CCNA_00255	False
CCNA_01076	False
CCNA_01589	False
CCNA_02795	False
CCNA_02851	False
CCNA_03043	False
CCNA_03308	False
CCNA_R0162	False
CCNA_00039	False
CCNA_00127	False
CCNA_01226	False
CCNA_01443	False
CCNA_02169	False
CCNA_03771	False
CCNA_00553	False
CCNA_01138	False
CCNA_01165	False
CCNA_01751	False
CCNA_02317	False
CCNA_02381	False
CCNA_02603	False
CCNA_03906	False
CCNA_02919	False
CCNA_03035	False
CCNA_03489	False
CCNA_03876	False
CCNA_00877	False
CCNA_01302	False
CCNA_01102	False
CCNA_01246	False
CCNA_01618	False
CCNA_01913	False
CCNA_02529	False
CCNA_03217	False
